Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	202	8.18e-28	27.1	6.12	-43.2	-81.4	-0.689	-42.3	-75.8	-14.3	791	-52.4	-76.4	-15.6	327
15	111	2.99e-18	17.5	7.06	45.6	-64.7	-17.6	46.1	-67.3	-16.7	607	45.6	-64.7	-17.6	318
14	28	1.55e-06	5.81	4.89	-27.9	-45.7	35.5	-31	-54	39.1	406	-27.9	-45.7	35.5	282
13	23	1.39e-05	4.86	4.97	-56.5	-29.7	14.4	-55.7	-28.6	20.6	573	-59.6	-27	9.39	339
12	19	9.14e-05	4.04	4.29	55.7	-7.27	35.9	50.3	-1.83	29.6	567	49.3	1.2	25.6	372
11	17	0.000246	3.61	4.76	26.9	-65.9	-23	27.1	-59.8	-19.1	407	30	-65.8	-22.9	270
10	17	0.000246	3.61	3.92	59.1	-44.6	10	60.6	-46.5	13.7	340	65.2	-44.1	14.9	250
9	16	0.000409	3.39	5.15	34.3	-80.9	-26.5	35	-82.1	-25.6	598	37.6	-83.8	-26.1	345
8	15	0.000687	3.16	4.71	-33.3	-95.8	10.1	-33	-89.8	14.4	411	-30.2	-95.6	10.2	306
7	14	0.00117	2.93	4.02	-27.4	-69.5	56	-21.3	-68.6	58.2	546	-15	-68.6	61.2	412
6	12	0.00352	2.45	4.92	-50.9	-8.33	3.73	-50.4	-5.28	2.88	426	-51.1	-5.29	3.52	307
5	12	0.00352	2.45	4.43	10.1	5.64	42.9	11	4.86	41.1	424	10.3	2.6	43.1	293
4	11	0.00624	2.21	3.98	-36.7	5.34	22.3	-37.9	-3.17	25	365	-36.3	-0.748	22.7	314
3	11	0.00624	2.21	4.46	29.4	-48.5	37.7	31.3	-47.1	38	390	29.4	-48.5	37.7	278
2	9	0.0206	1.69	5.65	37.2	-92.3	-6.62	37.4	-92.5	-7.06	412	37.4	-95.4	-6.41	294
1	9	0.0206	1.69	4.33	-55.5	1.19	21.9	-55.4	-0.172	21.9	481	-55.5	1.19	21.9	331
