Cluster Index	Z	x	y	z	
16	6.12	17	10	17
16	5.67	16	10	15
16	5.54	14	12	14
16	5.47	22	7	13
16	5.36	24	8	15
16	5.22	12	15	15
15	7.06	45	14	13
15	5.46	48	13	14
15	5.37	44	9	15
15	4.44	43	16	11
15	4.08	42	12	13
15	4.08	42	19	11
14	4.89	23	21	25
14	4.18	21	15	27
14	4.05	22	17	25
13	4.97	14	27	21
13	4.39	14	26	25
13	3.81	15	24	25
13	3.54	13	30	22
12	4.29	50	32	25
12	4	48	35	23
11	4.76	39	14	12
11	3.88	40	18	14
10	3.92	50	20	19
10	3.5	51	20	21
10	3.46	50	16	19
10	3.39	48	19	20
10	3.25	51	18	21
9	5.15	41	9	11
8	4.71	20	5	19
8	3.72	20	7	21
8	3.48	21	9	22
7	4.02	23	13	29
7	4	27	13	29
7	3.99	24	15	30
6	4.92	16	34	19
5	4.43	36	37	27
4	4.46	41	19	25
3	3.98	21	38	23
3	3.88	21	34	25
3	3.79	21	35	23
2	4.33	15	37	23
1	5.65	42	5	15
