Cluster Index	Z	x	y	z	
16	6.12	-43.2	-81.4	-0.689
16	5.67	-45.9	-81.9	-10.2
16	5.54	-52.4	-76.4	-15.6
16	5.47	-26	-90.2	-18.5
16	5.36	-20.3	-86.5	-9.03
16	5.22	-59.5	-67.5	-11.7
15	7.06	45.6	-64.7	-17.6
15	5.46	55.1	-67	-12.4
15	5.37	42.9	-79.8	-7.24
15	4.44	39.4	-59.3	-27.7
15	4.08	36.5	-71.3	-17.5
15	4.08	35.8	-50.3	-28.4
14	4.89	-27.9	-45.7	35.5
14	4.18	-33.7	-64.1	46
14	4.05	-30.4	-58.1	36.2
13	4.97	-56.5	-29.7	14.4
13	4.39	-57.2	-32.2	33.5
13	3.81	-53.7	-38.1	34.1
13	3.54	-60.4	-20.6	18.4
12	4.29	55.7	-7.27	35.9
12	4	49.3	1.2	25.6
11	4.76	26.9	-65.9	-23
11	3.88	28.9	-53.3	-14.2
10	3.92	59.1	-44.6	10
10	3.5	61.8	-44.2	19.6
10	3.46	59.8	-56.8	10.8
10	3.39	52.7	-47.9	14.7
10	3.25	62.2	-50.3	20
9	5.15	34.3	-80.9	-26.5
8	4.71	-33.3	-95.8	10.1
8	3.72	-34.1	-89.4	19.1
8	3.48	-31.5	-83	23.6
7	4.02	-27.4	-69.5	56
7	4	-14.8	-68.7	56.4
7	3.99	-24.8	-63.1	60.4
6	4.92	-50.9	-8.33	3.73
5	4.43	10.1	5.64	42.9
4	3.98	-36.7	5.34	22.3
4	3.88	-36.4	-6.54	32.6
4	3.79	-36.2	-3.79	22.9
3	4.46	29.4	-48.5	37.7
2	5.65	37.2	-92.3	-6.62
1	4.33	-55.5	1.19	21.9
