Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
27	293	5.45e-36	35.3	6.98	45	14	13	43.3	11.9	13.1	775	42	8	11	330
26	256	8.73e-33	32.1	7.38	17	10	17	17.3	12	14.1	876	14	12	14	339
25	138	2.7e-21	20.6	5.7	23	21	25	20.7	19	26.8	751	25	14	30	319
24	51	2.31e-10	9.64	5.15	21	32	31	21.1	30.7	30.9	831	23	32	32	402
23	44	2.83e-09	8.55	4.95	25	55	15	24.6	55.2	15.8	1.02e+03	22	55	15	469
22	41	8.61e-09	8.07	4.58	42	19	25	42.1	17.9	25	415	42	19	25	286
21	23	1.39e-05	4.86	5.82	14	28	21	14.3	28.2	21.1	710	13	28	20	400
20	21	3.52e-05	4.45	4.74	40	53	14	39.1	53.9	14.5	522	40	53	14	352
19	20	5.65e-05	4.25	3.98	36	36	27	34.8	36.6	26.9	422	35	36	27	312
18	20	5.65e-05	4.25	4.36	28	26	12	32	26.5	11.3	630	36	25	12	356
17	18	0.000149	3.83	4.64	44	32	31	45.1	32.4	30.1	821	44	32	31	458
16	15	0.000687	3.16	4.49	35	13	5	34.9	14	5.32	325	34	13	6	244
15	15	0.000687	3.16	4.32	23	22	32	21.7	21.9	31.6	770	22	22	32	478
14	15	0.000687	3.16	4.1	19	34	23	19.7	34.5	23.7	391	21	34	24	308
13	14	0.00117	2.93	4.93	21	5	19	20.4	6.78	19.5	482	21	5	19	301
12	13	0.00201	2.7	3.73	32	43	23	32.7	42.9	24.2	400	33	43	24	304
11	13	0.00201	2.7	4.68	16	34	19	15.6	35.5	18.8	485	14	38	18	360
10	12	0.00352	2.45	4.51	50	32	25	49.4	32.7	25.6	491	50	33	25	377
9	12	0.00352	2.45	3.9	51	18	19	50.3	18.8	19.3	314	51	18	19	260
8	12	0.00352	2.45	3.94	36	10	13	35.4	10.5	12.5	456	36	10	13	346
7	11	0.00624	2.21	3.81	30	11	12	29.8	10.6	10.8	295	31	10	11	243
6	11	0.00624	2.21	4.3	29	30	19	28.6	29	18.9	434	30	30	19	289
5	10	0.0112	1.95	4.5	31	26	25	30.6	26	25.3	505	31	26	25	389
4	9	0.0206	1.69	4.73	47	35	23	47.1	35.3	22.5	680	47	35	23	467
3	9	0.0206	1.69	4.16	32	16	28	31.8	16.6	27.4	650	31	15	28	429
2	9	0.0206	1.69	4.06	42	7	19	41.8	7.44	19.3	337	40	5	19	280
1	8	0.0386	1.41	4	40	35	32	38.6	35.2	31.8	718	38	35	33	352
