Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
15	496	4.34e-19	18.4	5.44	-40	-80	0	-51	-69.9	-11.5	420	-52	-76	-16	223
14	292	5.36e-13	12.3	6.56	46	-64	-18	45.7	-61.3	-19	390	46	-64	-18	226
13	226	9.72e-11	10	5.22	-24	-90	-18	-29.1	-80.9	-22.1	427	-42	-78	-24	248
12	137	2.38e-07	6.62	5.97	36	-80	-26	36.2	-80.6	-24.4	486	38	-82	-26	262
11	110	4.05e-06	5.39	5.83	-50	-6	4	-50.8	-3.04	3.22	358	-54	2	2	229
10	87	4.96e-05	4.3	5.2	-56	-28	14	-55.3	-26	16.9	395	-54	-26	14	236
9	81	9.85e-05	4.01	5.05	10	4	44	8.99	4.06	42.9	315	10	4	44	218
8	78	0.00014	3.85	5.92	-52	-2	18	-52.8	-1.62	19.7	383	-52	-2	18	226
7	60	0.00127	2.9	4.59	42	-80	-8	42.7	-80.9	-10.3	223	44	-78	-8	169
6	59	0.00144	2.84	4.09	32	-48	38	33.7	-45.6	37.3	223	32	-48	38	182
5	56	0.00213	2.67	3.91	-38	-6	28	-37.7	-3.36	26.7	267	-38	-4	28	214
4	46	0.0082	2.09	4.17	-34	-46	44	-33.3	-45.9	40.5	227	-34	-46	44	178
3	42	0.0144	1.84	4.6	-6	-2	52	-0.576	-2.71	55.3	261	2	-4	58	204
2	38	0.0258	1.59	4.68	-56	-32	34	-56.3	-31.7	32.9	258	-56	-32	34	187
1	37	0.0299	1.52	3.96	-58	-62	2	-58.1	-62.8	1.57	241	-60	-64	-2	186
