Cluster Index	Z	x	y	z	
34	5.89	-40	-70	6
34	5.85	-40	-72	-8
34	5.84	-48	-66	-6
34	5.69	-48	-74	6
34	5.51	-16	-94	-2
34	5.35	-32	-94	6
33	5.78	48	-64	-10
33	5.7	44	-70	6
33	5.61	34	-88	16
33	5.31	28	-84	12
33	5.21	50	-68	0
33	5.07	40	-84	2
32	6.46	-52	-2	-4
32	5.27	-24	2	2
32	4.82	-46	4	-8
32	4.61	-18	-22	4
32	4.5	-32	12	4
32	4.41	-18	-26	2
31	6.59	42	0	10
31	4.58	52	4	-6
31	4.48	32	-2	-4
31	4.44	52	6	-2
31	4.38	58	8	14
31	4.25	44	14	-6
30	5.58	-44	-42	56
30	5.57	-28	-56	58
30	5.34	-38	-44	44
30	5.22	-58	-24	34
30	4.88	-24	-60	40
30	4.64	-48	-26	36
29	7.08	-2	0	58
29	5.14	-8	12	38
29	5.06	-6	8	44
29	5	-8	8	40
29	4.93	4	4	70
29	4.26	-2	16	26
28	5.86	32	-58	56
28	5.18	30	-58	40
28	4.95	30	-64	44
28	4.38	32	-48	58
28	4.31	38	-38	46
28	4.27	16	-60	52
27	5.4	66	-38	26
27	5.19	56	-46	16
27	4.75	56	-50	8
27	4.67	60	-46	10
27	4.51	60	-62	14
27	4.44	56	-38	2
26	5.54	30	-46	-24
26	5.42	30	-56	-20
26	4.6	24	-42	-20
26	4.31	20	-42	-16
26	3.97	38	-50	-26
26	3.36	16	-48	-12
25	4.94	52	4	32
25	4.88	48	8	26
25	4.8	50	-2	30
25	4.64	52	0	34
25	4.4	36	0	30
25	3.45	48	4	52
24	4.79	-54	8	30
24	4.39	-62	4	26
24	4.24	-42	6	26
24	3.78	-48	-6	36
23	4.24	8	-20	4
23	4.18	8	-16	2
22	4.22	0	-56	50
22	3.92	0	-52	56
22	3.65	-4	-48	46
22	3.33	-10	-52	48
22	3.28	6	-62	56
21	4.46	-8	-14	40
21	4.35	-10	-22	48
20	4.27	-60	-34	28
20	4.16	-60	-40	22
20	3.62	-50	-42	26
19	4.43	-64	-18	16
19	4	-64	-24	24
19	3.51	-62	-10	18
18	5.6	62	-18	22
17	4.61	-40	38	14
17	3.69	-36	30	14
16	4.38	-40	0	52
16	3.61	-38	-6	56
15	4.51	-46	-52	12
14	3.95	28	42	24
14	3.93	30	46	32
14	3.65	32	34	28
14	3.62	32	30	30
13	3.88	26	0	48
13	3.75	30	-2	46
12	4.38	-6	34	18
12	4.03	-12	30	20
11	4.1	-36	-56	-30
11	3.72	-46	-58	-28
10	4.03	-38	34	38
9	4.1	0	-82	-8
9	3.89	0	-76	0
8	4.18	-28	-52	-20
7	4.04	-22	2	52
7	3.62	-28	-6	46
7	3.43	-26	2	56
6	4.06	50	42	-4
5	3.79	6	-32	28
5	3.6	0	-38	26
5	3.58	-6	-40	26
4	4.28	-32	-38	-28
3	3.96	34	-56	-52
2	4.64	-50	-52	-2
1	4.82	-30	48	-12
