Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
22	2952	0	48.4	6.66	34	-88	16	38.8	-69.8	-3.66	480	30	-60	-18	231
21	2315	1.4e-41	40.9	7.24	-40	-72	-8	-37.2	-75.2	-1.47	425	-40	-72	-8	234
20	1710	9.3e-34	33	7.51	-4	4	56	-1.05	11.6	42.1	697	-2	2	58	273
19	1646	7.02e-33	32.2	7.04	52	10	24	45.7	7.58	18.2	550	52	10	26	237
18	1605	2.6e-32	31.6	6.23	-58	-24	34	-39.2	-39.1	46.2	579	-28	-56	58	247
17	1039	7.03e-24	23.2	5.89	32	-58	56	33.5	-49.2	47.9	509	42	-38	60	233
16	563	1.8e-15	14.7	5.79	-42	4	26	-46.3	19.6	23.8	413	-54	8	30	238
15	463	1.96e-13	12.7	5.3	-40	0	48	-32.4	-2.94	54.5	377	-32	-6	66	224
14	371	2e-11	10.7	4.89	34	52	26	36.1	46.5	22.3	400	34	44	34	224
13	222	1.19e-07	6.92	5.41	24	2	48	25.4	-1.14	48.5	312	24	2	50	210
12	162	4.53e-06	5.34	4.68	-24	0	4	-25.7	-2.61	-1.63	263	-24	0	4	205
11	155	7.39e-06	5.13	5.34	-50	-2	0	-49.1	1.37	-3.91	339	-58	2	-4	233
10	148	1.21e-05	4.92	4.22	-2	-44	50	-2.15	-49.6	51	292	0	-56	56	227
9	144	1.61e-05	4.79	4.02	-8	-16	40	-2.87	-21.4	35.5	288	-2	-14	40	208
8	138	2.48e-05	4.61	4.16	8	-14	6	9.38	-16.1	5.55	334	10	-16	6	230
7	122	8.11e-05	4.09	3.97	-10	-18	-4	-13.1	-21.5	0.656	254	-8	-18	-6	194
6	111	0.000189	3.72	5.59	62	-18	22	60.7	-19.6	21.4	372	62	-18	22	255
5	92	0.000871	3.06	4.27	-36	-56	-30	-34.2	-55.5	-33.6	259	-36	-56	-30	191
4	79	0.00263	2.58	4.66	-34	12	4	-32.9	15.4	1.19	285	-34	12	4	206
3	71	0.00536	2.27	4.7	-30	-74	22	-29.8	-76.3	23.5	301	-30	-74	22	231
2	64	0.0102	1.99	6.11	66	-38	26	65.8	-35.3	26	349	66	-38	26	232
1	62	0.0123	1.91	4.46	-60	-40	22	-60.1	-38.9	24	305	-60	-42	22	226
