Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
24	3045	0	49.4	8.06	34	-82	-26	37.8	-71.9	-18.1	679	38	-84	-26	241
23	2584	8.41e-45	44.1	7.75	-42	-80	0	-42	-72.5	-14.9	662	-42	-78	-24	240
22	1548	1.63e-31	30.8	6.29	-34	-64	50	-32.7	-56.5	46.7	520	-26	-64	60	231
21	941	2.82e-22	21.6	6.57	32	-48	38	31.2	-58.9	38.1	436	14	-74	52	211
20	659	2.58e-17	16.6	5.99	-50	-6	4	-45.9	-3.07	17.6	391	-38	-4	28	225
19	535	6.5e-15	14.2	5.44	42	-4	58	44	-2.19	41.2	536	36	-6	64	254
18	508	2.29e-14	13.6	6.31	10	2	44	3.26	6.59	41.7	388	10	2	44	229
17	417	1.9e-12	11.7	5.79	-32	-10	66	-29.7	-9.57	65.7	635	-32	-10	66	306
16	416	2e-12	11.7	5.43	-8	-16	6	-1.38	-19.9	4.43	395	-6	-18	6	206
15	385	9.67e-12	11	6.1	-56	-28	14	-57.2	-26.8	23.6	470	-54	-26	14	236
14	293	1.38e-09	8.86	5.17	18	-60	-52	16.4	-60.6	-52	279	12	-62	-52	181
13	233	5.96e-08	7.22	4.38	-22	56	-14	-28.4	57.8	-15.4	816	-34	56	-18	405
12	138	2.48e-05	4.61	4.42	-62	-48	30	-58.4	-49.1	30.8	238	-62	-48	30	180
11	130	4.45e-05	4.35	4.68	0	-78	-24	-0.937	-78.3	-27.4	268	0	-80	-22	191
10	128	5.17e-05	4.29	4.31	-30	14	4	-34.7	17.3	3.74	260	-30	26	2	193
9	124	6.97e-05	4.16	4.92	40	14	-4	43.7	12.8	-3.76	465	54	12	-8	240
8	120	9.44e-05	4.03	6.1	-34	-88	14	-34.4	-88.4	13.5	335	-34	-88	14	223
7	119	0.000102	3.99	4.1	62	-48	10	60.5	-43.7	15	237	62	-48	10	179
6	90	0.00103	2.99	4.68	22	2	68	18.9	1.7	69.3	549	16	0	72	289
5	77	0.00314	2.5	4.66	56	-24	28	57.7	-23	25.9	258	58	-24	28	202
4	70	0.00587	2.23	4.36	24	52	-22	21.9	54.8	-19.1	350	22	52	-22	266
3	66	0.00847	2.07	4.47	-4	-28	36	-6.78	-27.8	36.5	333	-4	-28	36	233
2	49	0.0435	1.36	4.51	-10	-30	-32	-7.89	-29	-30.6	282	-10	-32	-28	212
1	48	0.0481	1.32	3.86	56	-40	44	55	-40	45.3	231	58	-44	44	190
