Cluster Index	Z	x	y	z	
22	6.66	34	-88	16
22	6.45	30	-46	-24
22	6.34	46	-64	-2
22	6.26	52	-68	-4
22	6.22	44	-70	6
22	6.09	46	-64	-10
21	7.24	-40	-72	-8
21	6.33	-46	-66	-6
21	5.92	-30	-86	2
21	5.84	-40	-60	-8
21	5.72	-18	-94	-4
21	5.44	-48	-74	6
20	7.51	-4	4	56
20	5.37	-2	-4	64
20	5.24	-2	18	40
20	5.05	-8	14	38
20	4.91	-2	8	44
20	4.82	-6	34	18
19	7.04	52	10	24
19	6.48	42	0	10
19	5.46	52	4	32
19	5.16	46	2	4
19	5.02	46	-2	30
19	4.84	42	26	28
18	6.23	-58	-24	34
18	6.05	-24	-50	50
18	5.75	-44	-28	40
18	5.32	-28	-56	58
18	5.18	-40	-44	52
18	5.07	-36	-48	54
17	5.89	32	-58	56
17	5.16	30	-58	40
17	4.73	30	-66	46
17	4.73	36	-36	42
17	4.6	42	-42	46
17	4.45	38	-40	38
16	5.79	-42	4	26
16	5.53	-58	4	36
16	5.36	-42	38	12
16	5.35	-54	8	30
16	4.22	-58	-4	40
16	4.09	-38	28	16
15	5.3	-40	0	48
15	4.85	-30	-2	44
15	4.7	-32	-6	66
15	3.91	-22	2	52
15	3.74	-28	2	60
15	3.27	-42	-8	56
14	4.89	34	52	26
14	4.63	30	48	22
14	4.51	40	50	22
14	4.49	30	44	20
14	4.13	34	46	28
14	3.98	30	44	32
13	5.41	24	2	48
12	4.68	-24	0	4
12	4.04	-24	-8	-12
12	3.75	-28	-6	0
11	5.34	-50	-2	0
11	5.26	-52	-2	-4
11	4.79	-48	4	-8
11	4.07	-44	4	2
10	4.22	-2	-44	50
10	4.15	0	-56	50
10	3.74	-10	-50	50
10	3.14	-6	-56	58
9	4.02	-8	-16	40
9	3.95	-4	-18	32
9	3.8	4	-30	28
9	3.54	-10	-22	44
9	3.47	6	-38	26
9	3.35	-8	-22	48
8	4.16	8	-14	6
8	4.01	12	-14	10
8	3.78	6	-22	4
8	3.56	16	-18	12
8	3.25	10	-28	4
7	3.97	-10	-18	-4
7	3.9	-20	-28	2
7	3.66	-14	-26	6
7	3.61	-8	-12	0
6	5.59	62	-18	22
5	4.27	-36	-56	-30
5	4	-34	-54	-40
4	4.66	-34	12	4
4	4.09	-30	20	0
4	3.89	-32	20	-4
4	3.33	-38	16	-4
3	4.7	-30	-74	22
3	3.8	-30	-80	26
2	6.11	66	-38	26
2	3.56	66	-32	32
1	4.46	-60	-40	22
1	3.77	-64	-34	28
