Cluster Index	Z	x	y	z	
24	8.06	34	-82	-26
24	7.85	46	-64	-18
24	6.73	42	-80	-8
24	6.65	52	-58	-18
24	6.62	54	-68	-12
24	6.61	38	-60	-18
23	7.75	-42	-80	0
23	7.54	-42	-80	-24
23	7.29	-46	-82	-10
23	6.66	-52	-76	-16
23	6.64	-54	-60	-12
23	6.59	-52	-58	-16
22	6.29	-34	-64	50
22	6.23	-34	-62	46
22	6.07	-28	-68	56
22	6.03	-30	-46	36
22	5.54	-30	-58	40
22	5.46	-48	-44	44
21	6.57	32	-48	38
21	5.63	30	-60	38
21	5.39	28	-70	24
21	5.35	28	-58	34
21	5.1	34	-58	44
21	4.72	34	-58	52
20	5.99	-50	-6	4
20	5.94	-36	-6	32
20	5.76	-52	0	18
20	4.97	-40	-2	24
20	4.88	-54	2	2
20	4.86	-36	2	22
19	5.44	42	-4	58
19	5.31	36	-6	64
19	5.21	56	-6	36
19	5.04	46	2	24
19	4.84	52	-2	40
19	4.16	32	-8	54
18	6.31	10	2	44
18	5	0	6	42
18	4.48	0	-4	56
18	4.43	-6	14	32
18	4.39	-10	10	32
18	4.36	-2	-2	52
17	5.79	-32	-10	66
17	5.4	-38	-10	62
17	4.86	-20	-6	72
17	3.91	-6	-10	62
17	3.77	-10	-4	66
17	3.63	-6	-6	70
16	5.43	-8	-16	6
16	4.98	10	-16	6
16	4.57	-10	-24	6
16	4.18	16	-12	-4
16	4.12	-12	-16	-4
15	6.1	-56	-28	14
15	6.03	-54	-26	18
15	5.81	-60	-22	18
15	5.12	-58	-32	34
15	4.41	-60	-32	42
15	4.09	-60	-34	48
14	5.17	18	-60	-52
14	4.26	4	-74	-46
14	4.24	26	-44	-58
14	4.22	6	-68	-48
14	4.14	12	-64	-48
14	3.89	26	-50	-52
13	4.38	-22	56	-14
13	4.37	-20	54	-18
13	4.29	-28	60	-10
13	4.06	-28	58	-18
13	3.85	-38	56	-18
13	3.41	-38	58	-10
12	4.42	-62	-48	30
12	4.24	-52	-54	30
12	3.83	-52	-44	24
11	4.68	0	-78	-24
11	4.67	0	-78	-32
11	3.45	-10	-88	-28
10	4.31	-30	14	4
10	4.01	-40	14	2
10	3.75	-30	26	2
10	3.69	-36	22	6
9	4.92	40	14	-4
9	3.98	54	12	-8
8	6.1	-34	-88	14
7	4.1	62	-48	10
7	4.01	62	-44	16
7	3.74	58	-34	14
7	3.59	56	-48	16
7	3.32	56	-44	10
6	4.68	22	2	68
6	4.68	16	0	72
5	4.66	56	-24	28
5	4.19	60	-20	22
4	4.36	24	52	-22
4	4.32	22	56	-18
4	3.75	18	62	-18
3	4.47	-4	-28	36
3	3.34	-14	-24	36
2	4.51	-10	-30	-32
2	3.36	-6	-20	-32
1	3.86	56	-40	44
