Cluster Index	Z	x	y	z	
10	4.85	-2	-18	6
10	4.16	-18	-26	2
10	4.02	18	-26	-2
10	3.9	-6	-26	-4
10	3.89	14	-20	2
10	3.78	-24	-30	2
9	4.06	-2	-66	-20
9	3.94	8	-68	-24
9	3.93	2	-68	-14
8	3.85	-8	-48	12
8	3.61	-2	-40	22
8	3.23	-14	-48	20
7	4.35	2	-78	-28
7	4.21	-2	-92	-32
7	4.16	-2	-88	-32
6	4.48	14	-56	-28
6	3.47	20	-58	-24
6	3.41	18	-64	-24
6	3.35	16	-60	-20
5	4.28	6	38	36
5	3.66	2	30	44
4	4.51	28	-94	-10
3	4.76	-34	-64	50
3	3.48	-26	-74	52
3	3.46	-30	-70	50
3	3.43	-40	-62	54
2	3.99	14	46	46
2	3.77	8	46	50
2	3.37	2	44	44
1	4.88	-6	-84	-42
