Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
10	424	8.33e-12	11.1	4.85	-2	-18	6	-0.987	-21	3.78	471	0	-14	10	216
9	115	0.000282	3.55	4.06	-2	-66	-20	1.49	-67.7	-18.9	218	-2	-72	-14	175
8	87	0.00235	2.63	3.85	-8	-48	12	-5.86	-44.2	16.6	340	-4	-44	16	255
7	65	0.0146	1.83	4.35	2	-78	-28	-0.294	-82.7	-30.9	219	2	-80	-28	165
6	64	0.016	1.8	4.48	14	-56	-28	16.3	-58.2	-26.7	185	14	-56	-28	150
5	59	0.0248	1.6	4.28	6	38	36	3.52	34.3	38.6	261	2	34	36	187
4	58	0.0272	1.57	4.51	28	-94	-10	29.2	-93.2	-9.7	196	30	-94	-10	161
3	54	0.039	1.41	4.76	-34	-64	50	-32.5	-65.9	50.9	268	-40	-62	54	188
2	54	0.039	1.41	3.99	14	46	46	10.9	45.1	46.9	332	10	46	50	223
1	52	0.0469	1.33	4.88	-6	-84	-42	-9.08	-84.1	-42.8	201	-6	-84	-42	145
